offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
917945301,2,True,2400,blok,40.0,2,550.0,"ul. Meissnera, Jeżyce, Poznań",52.4182042,16.8634464
670007695,3,True,3200,apartamentowiec,47.0,2,650.0,"ul. Dębińska, Poznań",52.3839963,16.929314
676300797,0,True,1400,blok,30.0,1,590.0,"ul. Łukaszewicza 35, Łazarz, Poznań",52.3914069,16.9028817
920820599,4,True,3450,kamienica,40.0,2,520.0,"ul. Matejki 51, Poznań",52.39894719999999,16.9002382
916691708,0,True,1700,kamienica,20.0,1,200.0,"ul. Małeckiego, Poznań",52.3967974,16.9037784
915418848,3,True,1800,blok,39.0,1,550.0,"ulica Kościuszki, Poznań",52.4057745,16.9201938
896130541,2,True,2500,blok,37.7,1,350.0,"Koszalińska 22C, Poznań",52.4574821,16.8458534
919403250,4,True,2600,apartamentowiec,46.0,2,850.0,"ul. Dmowskiego 111, Poznań, Grunwald",52.3833347,16.8934995
923845994,4,True,2000,blok,40.0,2,450.0,"os. Przyjaźni, Poznań",52.4299458,16.9221228
923841197,1,True,2400,apartamentowiec,43.0,2,718.31,"ul. Dworzeckiego 6, Poznań, Strzeszyn",52.4424033,16.8714383
809815048,6,True,1900,blok,44.0,2,700.0,"os. Lecha, Poznań",52.3892535,16.9740056
684801756,4,True,1700,kamienica,25.0,1,250.0,"ul. Chełmońskiego 17, Poznań",52.4003368,16.8984744
923837575,0,True,1800,blok,40.0,2,700.0,"os. Powstań Narodowych, Poznań",52.3898984,16.9558184
919719009,1,True,2750,blok,38.0,2,,"Poznań, ul. Katowicka",52.3979359,16.9650293
825547750,5,True,2000,blok,31.0,1,390.0,"ul. Marcelińska, osiedle Grunwald, Poznań",52.4043778,16.8767616
921969873,1,True,2000,kamienica,35.0,2,300.0,"ul. Niegolewskich, Poznań",52.3958981,16.8979631
835007913,1,True,2200,kamienica,27.0,1,500.0,"Jeżyce, Poznań",52.432479,16.8515452
860017739,10,True,1700,blok,32.0,1,450.0,"ul. Jugosłowiańska, Poznań",52.391454,16.8657064
909173161,4,True,2000,blok,48.0,2,560.0,"ul. Szamarzewskiego, Poznań",52.4122,16.8914249
691760299,0,True,2800,kamienica,50.0,2,700.0,"Rynek Łazarski, Poznań",52.3946923,16.9006895
922762215,2,True,3600,blok,54.55,3,610.0,"ul. Skowrońskiego 6, Poznań",52.3942641,16.9611833
845942354,6,True,2500,blok,47.6,3,650.0,"ul. Głogowska 129, Poznań",52.38864659999999,16.8930055
921486991,10,True,2000,blok,29.0,1,470.0,"ul. Norwida, Jeżyce, Poznań",52.4161016,16.9124667
888945284,8,True,2000,blok,37.0,1,10.0,"Osiedle Wichrowe Wzgórze, Poznań",52.4388497,16.9344897
