offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
759831929,3,True,3800,kamienica,69.0,3,1200.0,"ulica Krucza, Wrocław",51.0934661,17.0064997
811315535,2,True,2500,blok,48.0,2,1000.0,"Plac Srebrny, Wrocław",51.0979263,16.9959512
737993844,6,True,3400,apartamentowiec,56.0,3,700.0,"Kleczkowska Reymonta, Wrocław",51.127008,17.0277826
916220195,1,True,2000,blok,54.5,2,900.0,"ul. Balonowa, Gądów Mały, Wrocław",51.1220574,16.9649683
921767008,0,True,950,kamienica,65.0,2,,"ul. Skłodowskiej koło mostu Zwierzynieckiego, Wrocław",51.1104807,17.0627968
664364084,3,True,2500,apartamentowiec,55.0,2,900.0,"Ogrody Grabiszyńskie, ul. Hallera, Wrocław",51.0930665,16.9802586
922999552,2,True,3500,blok,44.0,3,700.0,"ul. Ruska, Stare Miasto, Wrocław",51.1105189,17.0257531
922999204,0,True,2300,blok,40.0,2,1100.0,"Osiedle Huby, Krzyki, Wrocław",51.09279309999999,17.0381323
918371868,2,True,2650,blok,38.0,2,550.0,"ul. Pereca 30, Wrocław, Gajowice - Grabiszyńska",51.0976362,17.0065338
922998756,2,True,4200,apartamentowiec,55.0,3,1000.0,"Polaka 10, Wrocław",51.1117492,17.0544599
922995992,5,True,2150,blok,31.0,2,600.0,"ul. Kleczkowska, Wrocław",51.1271107,17.0246632
784207033,0,True,2800,blok,37.0,2,580.0,"Wrocław, ul. Grabiszyńska",51.0981666,16.9949737
922995434,9,True,2250,apartamentowiec,16.0,1,,"ul. Robotnicza 96, Wrocław",51.1126145,16.9953581
922994940,7,True,2300,apartamentowiec,35.6,1,600.0,"ul. Legnicka 46, Wrocław",51.1158547,17.0005593
922498022,2,True,1600,apartamentowiec,16.0,1,600.0,"ulica Ludwika Pasteura 18, Wrocław",51.113882,17.070474
815973652,1,True,2900,apartamentowiec,52.0,2,800.0,"ul. Kłodzka, Wrocław",51.0730328,17.0457849
877567372,8,True,2690,blok,34.0,2,650.0,"Krzyki, Wrocław",51.0785518,17.0531945
742259289,4,True,6500,apartamentowiec,80.0,3,550.0,"Wrocław, Kępa Mieszczańska",51.1175001,17.0219599
922988820,2,True,2300,blok,34.0,2,570.0,"Wrocław, Powstańców Śląskich",51.0893253,17.0159794
764880859,9,True,2300,blok,27.0,1,550.0,"ul. Szkocka, Wrocław",51.1091479,16.963323
906427772,0,True,2300,blok,36.0,1,1.0,"ulica Dworcowa, Wrocław",51.1014116,17.0396337
900868871,3,True,3000,blok,75.0,3,900.0,"ul. Gradowa, Wrocław",51.0761464,16.9949432
885920496,1,True,3500,blok,55.0,3,580.0,"Maślice, Wrocław",51.157561,16.9274743
922983427,0,True,3500,blok,69.0,3,1100.0,"Wrocław, ul. Maślicka",51.1556322,16.9364771
856703069,2,True,2900,blok,40.0,2,,"ul. Przyjaźni, Klecina, Wrocław",51.0670921,16.9964144
922975385,10,True,2000,blok,38.0,2,500.0,"Park Zachodni, Wrocław",51.1323534,16.9696234
851794644,0,True,3000,blok,54.0,2,800.0,"ul. Czartoryskiego, Wrocław",51.1540665,17.0471914
686334393,0,True,2000,apartamentowiec,33.0,1,320.0,"ul. Królewiecka/Mrągowska, Maślice, Wrocław",51.1468269,16.9353341
759589277,0,True,3300,blok,50.72,3,650.0,"Wrocław, Lipa Piotrowska",51.1756961,16.9932025
922969312,10,True,4500,blok,54.0,3,950.0,"ul. Popowicka, Wrocław",51.1276477,16.9897248
